Word,Total,monthValue
guardian,64,:1:::1:3:::1:1:1:3:2:::2:1:::::1::1:1:::1::::3::1:::2:::4::4:3:::1:2:1:::1:1::1:1:::1:::1:::::::::::1:::::2:2:::1:1:1::1::::::::2:::1::::::::::1:::::1::::::2:::::::1
christian,64,:1:::2:2:1::4:1:3::1:1:::2::1::2:1::::2:::1::2::1::2:3:1:2:2:3:1:::::2:1::1::1::1::2:::::::1:1::1:::::2:1:::::::::::1::::1:2::::1:::::1:1:::::::1
norwegian,62,1:1::1::2:1:::2::3:1::4:2::1:1:1::1::::1::1::1:::1:1:1:1::1:2:1::1:1::::3:2::::2:1:2:3:2::2:1::::1::1:::1:::::::::::::2::::::::::::::::::::1::::::1::::::1:1
north korean,62,1:::1::1:1:1:1:::::::::::1:1:3::2:::3::2:::5::1::2::::1::1::1:1::1::::::2:::2:1:1:::1:1:1:::1:1:1:2:1:::1:3::::::1::::::1:::1:2::::::::1::::1::::1:1:1::::1:::1
catholic,62,::1:1:4:4:1::2:1:2:1::2::3:2:2:::::1:1:1::1::::1:2:::1:1::1::3::1::1:::::::1::1:1::::::1::::::3:1:1:::1:1:1::::::1::::::::1::1:::::::::::1:::::::::::::1:1:::1::::1::1
paralympic,62,:::::::::::::::::::::::::::1::::::::::1::1:::::::::::::::::::::::::::::::::::::::::::::::::2::1:1:4:13:15:::5:1::1::::2:1:1::2:2:1::6:::1
colombian,60,::5:6:4::1:1:2:1::1::2:2:1:2:1::::1:2:1::::::::::::1:1::::4:1:::4:::1::1:1:2:::::1:::1:::::1::::4:::::::::::::::::1::::1::::1:::::::::::1
soviet,60,::1:::1:4:1:::::1::::1:::::::1::::1::3:5:1:1::1::2:1::1:2:1:4::1:1:1::1:::1::1:::2:1:1::3:::1::2:2:::::::::::1::1::2::::::::1:2:::::::::1:::::::::::::1
belgian,60,:::::2:1:1:1::2::1:1:1::::::1:3:3:::2:1::3:1::1::2:2::1:1::1:4::::2:::::2:4::1:2:1::::::3:::1::2::::::::1::::1:::::::::::::::::::::::2:::::::::::::::1:::::::::1
chilean,59,2:2:3:1::1:1:1::::::2:1:1:1:::::::::1::::::::::1:1::::::::1:::::1:::1::::::::::1:2:3:5:4:2:::4:1::2:2:1:1::2:1:1::1::::1:::1::::::::1::::::::::::::::1
iranians,58,:1::::1::1:1:1::1::2:2:2::5::1::2::::1:2:2:2:2:2::::1:1:1:1:3:::1:::2:1:::1::1::1:::2:2:::1:::::1::1::::::1:::::::::::::::1::::::::::1:::::::::1::2
sudanese,56,::::1:::3:1:1::2::2::::1:3:1:2:::1:2::1::1:::2:::1:2:3:2:2:3::1::3:2:1:::::::::::2::1:1::1:3:::1:::1::::::::::::1:1
taiwanese,55,:3:5::9:2::1::1:::::1:::1:1:::2:::::::::::1:1:3:1:3:3:2::1:1::2:1:1:::2:1:::::1:::2:::::1::2
nigerian,50,:::1::3::1::::::::2:1:2:1:4:1:2::2::::1:::::1::2:1:1:1:1:2::::::1:::1:::::::::1::2::4:3::2::1::1::::::::1::::::::::1::::::::::1::::::::::::::::::::::1
